"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Calendar Year 2015,,,,,,,,Calendar Year 2016,,,,,,,,Calendar Year 2017,,,,,,,,Calendar Year 2018,,,,,,,,Calendar Year 2019,,,,,,,,Yearly Change  ,
Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2018-2019),Annual Growth Rate in Average Spending Per Dosage Unit (2015-2019)
1st Tier Unifine Pentips,"Pen Needle, Diabetic",1,"$134,200.53","718,948","5,802","2,290",$0.19,$23.13,$58.60,0,"$216,273.87","1,052,113","8,911","3,428",$0.21,$24.27,$63.09,0,"$217,990.68","1,014,518","8,597","3,026",$0.22,$25.36,$72.04,0,"$167,193.78","761,658","6,537","2,341",$0.22,$25.58,$71.42,0,"$139,201.68","642,471","5,392","1,878",$0.22,$25.82,$74.12,0,-1.36%,3.79%
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",1,"$197,091.75","986,070","7,889","4,330",$0.20,$24.98,$45.52,0,"$378,148.31","1,751,507","14,615","6,566",$0.22,$25.87,$57.59,0,"$402,449.01","1,852,203","15,413","5,975",$0.22,$26.11,$67.36,0,"$369,416.83","1,814,008","14,932","5,675",$0.20,$24.74,$65.10,0,"$343,031.42","1,830,596","14,581","5,319",$0.19,$23.53,$64.49,0,-7.99%,-1.60%
Abacavir,Abacavir Sulfate,9,"$24,519,295.76","4,413,607","69,019","9,319",$5.56,$355.25,"$2,631.11",0,"$19,358,627.55","4,257,534","66,599","9,011",$4.55,$290.67,"$2,148.33",0,"$16,815,197.53","3,991,061","60,900","8,101",$4.30,$276.11,"$2,075.69",0,"$14,476,732.05","3,971,677","54,433","7,359",$4.04,$265.96,"$1,967.21",0,"$10,518,349.87","3,423,584","44,269","6,085",$3.49,$237.60,"$1,728.57",0,-13.60%,-10.94%
Abacavir-Lamivudine,Abacavir Sulfate/Lamivudine,6, , , , , , , , ,"$14,755,782.09","439,840","13,905","6,631",$33.55,"$1,061.19","$2,225.27",0,"$51,270,992.60","2,504,950","80,677","10,479",$20.42,$635.51,"$4,892.74",0,"$24,587,440.48","2,225,584","70,484","8,684",$11.06,$348.84,"$2,831.35",1,"$19,441,270.39","1,693,617","50,231","6,423",$11.47,$387.04,"$3,026.82",0,3.75%,-30.08%
Abacavir-Lamivudine-Zidovudine,Abacavir/Lamivudine/Zidovudine,1,"$16,626,213.80","759,933","12,216","1,621",$21.88,"$1,361.02","$10,256.76",0,"$12,787,721.57","608,455","9,765","1,333",$21.02,"$1,309.55","$9,593.19",0,"$10,164,840.09","468,641","7,454",973,$21.69,"$1,363.68","$10,446.91",0,"$6,955,321.12","330,735","5,298",710,$21.03,"$1,312.82","$9,796.23",0,"$4,849,598.99","225,020","3,648",493,$21.55,"$1,329.39","$9,836.91",0,2.48%,-0.38%
Abelcet,Amphotericin B Lipid Complex,1,"$552,847.75","47,600",439,102,$11.61,"$1,259.33","$5,420.08",0,"$752,938.84","85,650",476,140,$8.79,"$1,581.80","$5,378.13",1,"$675,695.03","68,490",420,137,$9.87,"$1,608.80","$4,932.08",0,"$766,166.41","101,857",620,205,$7.52,"$1,235.75","$3,737.40",0,"$618,247.30","120,570",777,226,$5.13,$795.69,"$2,735.61",0,-31.83%,-18.49%
Abilify Maintena,Aripiprazole,1,"$148,259,378.06","92,724","92,207","14,000","$1,599.00","$1,607.90","$10,589.96",0,"$201,856,628.39","117,247","116,223","17,158","$1,721.53","$1,736.80","$11,764.58",0,"$262,099,777.91","138,171","137,504","19,579","$1,897.01","$1,906.12","$13,386.78",0,"$345,985,509.08","165,496","164,801","22,941","$2,090.80","$2,099.41","$15,081.54",0,"$422,132,118.94","189,978","189,169","25,427","$2,222.09","$2,231.51","$16,601.73",0,6.28%,8.57%
Abilify Mycite,Aripiprazole,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"$40,552.86",720,24, ,$56.32,"$1,689.70", ,1, , 
Abilify*,Aripiprazole,1,"$1,572,428,342.90","47,855,047","1,635,117","322,585",$33.12,$961.66,"$4,874.46",0,"$92,477,574.29","2,936,652","97,642","39,261",$31.48,$947.11,"$2,355.46",0,"$37,793,640.62","1,159,683","32,277","6,976",$32.72,"$1,170.92","$5,417.67",0,"$31,075,271.98","950,672","25,664","4,693",$32.84,"$1,210.85","$6,621.62",0,"$26,868,326.75","808,697","20,942","3,672",$33.40,"$1,282.99","$7,317.08",0,1.71%,0.21%
