"Medicare Part D Drug Spending and Utilization, Calendar Years 2015 - 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Manufacturer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Average spending per dosage unit reflects multiple routes of administration of the drug (e.g., intravenous, subcutaneous) which individually may have different unit pricing. Additional information regarding calculation of spending per unit can be found in the methodology document.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2015,,,,,,,,2016,,,,,,,,,2017,,,,,,,2018,,,,,,,,2019,,,,,,,,Yearly Change  ,
Brand Name,Generic Name,Manufacturer,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2018-2019),Annual Growth Rate in Average Spending Per Dosage Unit (2015-2019)
1st Tier Unifine Pentips,"Pen Needle, Diabetic",Owen Mumford Us,"$134,200.53","718,948","5,802","2,290",$0.19,$23.13,$58.60,0,"$216,273.87","1,052,113","8,911","3,428",$0.21,$24.27,$63.09,0,"$217,990.68","1,014,518","8,597","3,026",$0.22,$25.36,$72.04,0,"$167,193.78","$761,658.00","6,537","2,341",$0.22,$25.58,$71.42,0,"$139,201.68","642,471","5,392","1,878",$0.22,$25.82,$74.12,0,-1.36%,3.79%
1st Tier Unifine Pentips Plus,"Pen Needle, Diabetic",Owen Mumford Us,"$197,091.75","986,070","7,889","4,330",$0.20,$24.98,$45.52,0,"$378,148.31","1,751,507","14,615","6,566",$0.22,$25.87,$57.59,0,"$402,449.01","1,852,203","15,413","5,975",$0.22,$26.11,$67.36,0,"$369,416.83","$1,814,008.00","14,932","5,675",$0.20,$24.74,$65.10,0,"$343,031.42","1,830,596","14,581","5,319",$0.19,$23.53,$64.49,0,-7.99%,-1.60%
Abacavir,Abacavir Sulfate,AHP,"$14,927.36","2,629",48,21,$5.68,$310.99,$710.83,0,"$20,853.56","3,871",82,29,$5.39,$254.31,$719.09,0,"$14,031.32","2,377",43,13,$5.90,$326.31,"$1,079.33",0, , , , , , , , ,"$6,522.60","1,276",15, ,$5.11,$434.84, ,1, ,-2.59%
Abacavir,Abacavir Sulfate,Apotex Corp,"$3,548,716.76","642,855","10,000","2,184",$5.52,$354.87,"$1,624.87",0,"$2,491,345.83","533,661","8,449","2,320",$4.67,$294.87,"$1,073.86",0,"$3,410,852.45","797,057","12,562","2,733",$4.28,$271.52,"$1,248.03",0,"$3,791,444.44","$929,904.00","13,923","2,790",$4.08,$272.32,"$1,358.94",0,"$385,129.88","102,341","1,565",701,$3.76,$246.09,$549.40,0,-7.70%,-9.13%
Abacavir,Abacavir Sulfate,Aurobindo Pharm,"$6,634,496.81","1,205,223","19,505","3,696",$5.50,$340.14,"$1,795.05",0,"$7,154,093.03","1,558,949","25,383","4,602",$4.59,$281.85,"$1,554.56",0,"$5,847,623.86","1,296,796","20,939","3,546",$4.51,$279.27,"$1,649.08",0,"$4,621,104.64","$1,061,307.00","17,137","3,336",$4.35,$269.66,"$1,385.22",0,"$3,097,563.43","836,918","13,105","2,299",$3.70,$236.37,"$1,347.35",0,-15.00%,-9.45%
Abacavir,Abacavir Sulfate,Camber Pharmace,"$2,127,587.71","377,106","6,228","1,823",$5.64,$341.62,"$1,167.08",0,"$6,766,490.99","1,547,860","23,183","4,580",$4.37,$291.87,"$1,477.40",0,"$5,323,006.60","1,419,796","19,536","4,337",$3.92,$272.47,"$1,227.35",0,"$4,230,093.55","$1,413,429.00","16,764","3,360",$3.60,$252.33,"$1,258.96",0,"$4,234,275.07","1,473,874","17,792","3,305",$3.19,$237.99,"$1,281.17",0,-11.29%,-13.25%
Abacavir,Abacavir Sulfate,"Cipla USA, Inc.", , , , , , , , , , , , , , , , , , , , , , , , ,"$227,189.15","$50,997.00",832,241,$4.45,$273.06,$942.69,0,"$698,311.33","192,395","3,311",698,$3.63,$210.91,"$1,000.45",0,-18.53%,-18.53%
Abacavir,Abacavir Sulfate,Major Pharmaceu, , , , , , , , , , , , , , , , ,"$13,130.04","2,832",55,18,$4.64,$238.73,$729.45,0,"$18,653.71","$4,401.00",82,21,$4.24,$227.48,$888.27,0,"$9,639.18","2,474",44,16,$3.90,$219.07,$602.45,1,-8.08%,-8.33%
Abacavir,Abacavir Sulfate,Mylan,"$12,193,567.12","2,185,794","33,238","6,075",$5.58,$366.86,"$2,007.17",0,"$2,925,844.14","613,193","9,502","2,855",$4.77,$307.92,"$1,024.81",0,"$1,617,765.74","346,670","5,747","1,151",$4.67,$281.50,"$1,405.53",0,"$1,468,380.35","$329,353.00","5,307","1,493",$4.46,$276.69,$983.51,0,"$1,937,920.78","500,896","7,983","1,505",$3.87,$242.76,"$1,287.66",0,-13.22%,-8.74%
